Composer;Range;Relative Prevalence of Top Pitch Classes;Interval Between Most Prevalent Pitch Classes;Pitch Class Variability;Most Common Melodic Interval;Chromatic Motion;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
0;58.0000;1.0000;2.0000;3.6000;2.0000;0.1600;0.3500;0.1500;0.0200;3.1400
0;31.0000;0.7800;5.0000;3.3600;2.0000;0.2300;0.6300;0.0800;0.0100;3.9800
0;39.0000;0.9700;5.0000;3.5000;2.0000;0.2700;0.6500;0.1200;0.0500;3.7400
0;36.0000;0.7300;7.0000;3.2400;2.0000;0.2400;0.7400;0.1100;0.0600;0.7200
0;48.0000;0.9000;7.0000;3.3100;3.0000;0.1400;0.3400;0.1600;0.0300;3.0000
0;31.0000;0.7500;2.0000;3.4900;2.0000;0.1500;0.4100;0.0000;0.0000;1.3700
0;29.0000;0.9800;7.0000;3.4100;2.0000;0.2400;0.6000;0.0800;0.0100;1.0000
0;27.0000;0.8900;7.0000;3.5300;1.0000;0.2100;0.3500;0.0000;0.0000;0.2700
0;67.0000;0.9700;7.0000;3.4200;2.0000;0.2100;0.5200;0.1800;0.0200;5.2100
0;55.0000;0.9900;7.0000;3.3800;2.0000;0.1500;0.3400;0.2400;0.0700;0.8200
0;67.0000;0.9600;5.0000;3.4000;2.0000;0.1800;0.6100;0.2000;0.0300;6.6900
0;51.0000;0.9600;5.0000;3.4300;2.0000;0.2100;0.5200;0.1600;0.0300;6.0800
0;36.0000;0.9100;5.0000;3.4000;2.0000;0.1800;0.5600;0.1400;0.0000;1.3400
0;36.0000;1.0000;5.0000;3.4700;0.0000;0.0000;0.0000;0.0800;0.0300;1.6700
0;33.0000;0.9400;5.0000;3.6700;0.0000;0.0000;0.0000;0.1100;0.0500;3.3300
0;39.0000;0.8800;5.0000;3.4500;0.0000;0.0000;0.0000;0.1300;0.0700;1.9200
0;48.0000;0.9900;2.0000;3.5200;2.0000;0.2200;0.6300;0.1700;0.0000;1.7700
0;48.0000;0.9700;2.0000;3.4200;2.0000;0.2400;0.6600;0.2100;0.0000;1.4500
0;45.0000;0.9800;3.0000;3.3800;2.0000;0.2600;0.6700;0.2700;0.0000;2.3300
0;51.0000;0.8500;7.0000;3.4300;0.0000;0.2000;0.3600;0.2700;0.1200;1.0800
0;51.0000;0.9700;7.0000;3.4500;1.0000;0.2900;0.5500;0.2600;0.0900;1.9300
0;51.0000;1.0000;5.0000;3.3900;2.0000;0.3000;0.6700;0.3000;0.1100;3.6800
0;48.0000;0.9500;7.0000;3.4500;2.0000;0.3400;0.7500;0.2400;0.0700;1.9900
0;44.0000;0.8900;5.0000;3.4600;2.0000;0.2800;0.5900;0.2500;0.0000;1.8600
0;45.0000;0.9600;7.0000;3.4500;5.0000;0.0200;0.0500;0.2000;0.0700;2.0400
0;44.0000;0.9000;3.0000;3.3100;10.0000;0.0700;0.1200;0.0900;0.0000;2.8800
0;40.0000;0.7300;7.0000;3.3200;2.0000;0.0500;0.1900;0.1800;0.0000;0.6700
0;48.0000;0.9400;5.0000;3.4100;2.0000;0.2500;0.6600;0.2300;0.0800;0.6900
0;45.0000;0.9200;7.0000;3.3400;2.0000;0.2000;0.5800;0.2300;0.0000;1.9900
0;46.0000;0.9200;3.0000;3.3700;2.0000;0.1900;0.5400;0.2700;0.0600;1.8200
